movie_title,genres,director_name,actor_1_name,actor_2_name,actor_3_name,combined_info
ben is back,Drama,Peter Hedges,Lucas Hedges,Julia Roberts,Kathryn Newton,Peter Hedges Lucas Hedges Julia Roberts Kathryn Newton Drama
spider-man: into the spider-verse,Action Adventure Animation Science Fiction Comedy,"Bob Persichetti, Peter Ramsey, Rodney Rothman",Shameik Moore,Jake Johnson,Hailee Steinfeld,"Bob Persichetti, Peter Ramsey, Rodney Rothman Shameik Moore Jake Johnson Hailee Steinfeld Action Adventure Animation Science Fiction Comedy"
mortal engines,Adventure Science Fiction,Christian Rivers,Hugo Weaving,Hera Hilmar,Robert Sheehan,Christian Rivers Hugo Weaving Hera Hilmar Robert Sheehan Adventure Science Fiction
the mule,Crime Drama Thriller,Clint Eastwood,Clint Eastwood,Bradley Cooper,Laurence Fishburne,Clint Eastwood Clint Eastwood Bradley Cooper Laurence Fishburne Crime Drama Thriller
if beale street could talk,Romance Drama,Barry Jenkins,Kiki Layne,Stephan James,Teyonah Parris,Barry Jenkins Kiki Layne Stephan James Teyonah Parris Romance Drama
mary poppins returns,Fantasy Family Comedy,Rob Marshall,Emily Blunt,Lin-Manuel Miranda,Ben Whishaw,Rob Marshall Emily Blunt Lin-Manuel Miranda Ben Whishaw Fantasy Family Comedy
aquaman,Action Adventure Fantasy,James Wan,Jason Momoa,Amber Heard,Willem Dafoe,James Wan Jason Momoa Amber Heard Willem Dafoe Action Adventure Fantasy
bumblebee,Action Adventure Science Fiction,Travis Knight,Hailee Steinfeld,John Cena,Jorge Lendeborg Jr.,Travis Knight Hailee Steinfeld John Cena Jorge Lendeborg Jr. Action Adventure Science Fiction
welcome to marwen,Drama Comedy Fantasy,Robert Zemeckis,Steve Carell,Leslie Mann,Diane Kruger,Robert Zemeckis Steve Carell Leslie Mann Diane Kruger Drama Comedy Fantasy
second act,Romance Comedy,Peter Segal,Jennifer Lopez,Leah Remini,Vanessa Hudgens,Peter Segal Jennifer Lopez Leah Remini Vanessa Hudgens Romance Comedy
cold war,Animation,Paweł Pawlikowski,Joanna Kulig,Tomasz Kot,Agata Kulesza,Paweł Pawlikowski Joanna Kulig Tomasz Kot Agata Kulesza Animation
holmes & watson,Mystery Adventure Comedy Crime,Etan Cohen,Will Ferrell,John C. Reilly,Rebecca Hall,Etan Cohen Will Ferrell John C. Reilly Rebecca Hall Mystery Adventure Comedy Crime
vice,Comedy Romance Crime Drama Mystery,Adam McKay,Christian Bale,Amy Adams,Steve Carell,Adam McKay Christian Bale Amy Adams Steve Carell Comedy Romance Crime Drama Mystery
on the basis of sex,Drama History,Mimi Leder,Felicity Jones,Armie Hammer,Justin Theroux,Mimi Leder Felicity Jones Armie Hammer Justin Theroux Drama History
destroyer,Thriller Crime Drama Action,Karyn Kusama,Nicole Kidman,Sebastian Stan,Toby Kebbell,Karyn Kusama Nicole Kidman Sebastian Stan Toby Kebbell Thriller Crime Drama Action
black mirror: bandersnatch,Science Fiction Mystery Drama Thriller TV Movie,David Slade,Fionn Whitehead,Will Poulter,Asim Chaudhry,David Slade Fionn Whitehead Will Poulter Asim Chaudhry Science Fiction Mystery Drama Thriller TV Movie
